Nr;Municipio;CodIBGE;Estado;Area;Desmatado;Incremento;Floresta;Nuvem;NaoFloresta;Hidrografia;
324;Bujaru;1501907;PA;1010;668.0;1.3;270.9;0.0;11.8;59.3;
325;São Luís;2111300;MA;839;378.3;1.3;142.7;26.9;0.0;291.1;
326;Abaetetuba;1500107;PA;1617;698.4;1.3;491.2;0.2;13.6;413.6;
327;São Geraldo do Araguaia;1507458;PA;3181;2506.2;1.3;331.4;0.1;314.1;29.2;
328;Abel Figueiredo;1500131;PA;616;573.2;1.2;42.8;0.0;0.0;0.0;
329;São José do Xingu;5107354;MT;7465;4349.4;1.2;2752.4;0.0;306.2;57.0;
330;Centro do Guilherme;2103158;MA;1084;924.8;1.2;150.5;8.7;0.0;0.0;
331;Capitão Poço;1502301;PA;2924;2579.0;1.2;340.3;0.9;2.0;1.8;
332;Faro;1503002;PA;11794;252.1;1.2;10623.5;649.7;87.6;181.1;
333;Tonantins;1304237;AM;6619;95.2;1.1;6047.3;93.4;67.4;315.7;
334;Calçoene;1600204;AP;14283;197.5;1.1;7250.7;4711.9;1950.7;172.2;
335;Paço do Lumiar;2107506;MA;134;80.2;1.1;43.6;1.6;0.0;8.6;
336;Turiaçu;2112407;MA;2603;1951.1;1.1;531.2;6.0;48.0;66.7;
337;Curralinho;1502806;PA;3626;206.4;1.1;2790.7;16.8;241.5;370.6;
338;Nortelândia;5106000;MT;1353;923.1;1.1;279.5;0.0;150.4;0.0;
339;Itaipava do Grajaú;2105351;MA;1045;929.0;1.1;116.0;0.0;0.0;0.0;
340;Igarapé-Miri;1503309;PA;2004;484.2;1.1;994.4;0.3;203.3;321.8;
341;Palestina do Pará;1505494;PA;985;829.8;1.1;129.3;0.0;0.3;25.6;
342;Santa Isabel do Rio Negro;1303601;AM;64130;224.9;1.1;59778.8;2547.2;950.8;628.3;
343;Urupá;1101708;RO;841;696.4;1.1;46.9;0.0;97.7;0.0;
344;Xambioá;1722107;TO;1191;1000.9;1.1;149.0;0.0;11.0;30.1;
